brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
ASUS,ASUS Rog Strix,17.3 Inches,Black,,8032,16 GB,Windows 10 Home,,Dedicated,,,4.3,"$1,799.00 "
Lenovo,ThinkPad X13 Yoga Gen 2,12.3 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Pro,"Fingerprint Reader, HD Audio, Backlit Keyboard",Integrated,,,4,$869.99 
acer,TravelMate Vero V15-51,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Pro,Information Not Available,Iris Xe Graphics,,,,$630.15 
Apple,MacBook Air M2,13.6 Inches,,512 GB,Apple M1,16 GB,macOS 12 Monterey,,Integrated,,3.49 GHz,,"$1,588.42 "
Lenovo,Chromebook,11.6 Inches,Abyss Blue,32 GB,Celeron,4 GB,Chrome OS,,Integrated,UHD Graphics 600,,3.9,$203.77 
Lenovo,,14 Inches,,,,8 GB,Windows 11 Pro,,Integrated,,,,$909.99 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
acer,Acer Chromebook,11.6 Inches,Silver,32 GB,MediaTek MT8183,32 GB,Chrome OS,HD Audio,Integrated,,,4.1,$204.95 
Dell,Latitude 5000,13.3 Inches,Gray,1024 GB,Core i7,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,3.9,"$1,163.21 "
Dell,Latitude,15.6 Inches,,256 GB,Core i7,8 GB,Windows 11 Pro,Anti-glare Screen,Integrated,Intel,,,$901.85 
Lenovo,Chromebook S330,14 Inches,Black,64 GB,MediaTek_MT8127,4 GB,Chrome OS,Anti-glare,Integrated,,,4,$177.00 
HP,,15.6 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,,Integrated,,2.6 GHz,,"$2,499.00 "
HP,HP Chromebook 11,11.6 Inches,Black,16 GB,Celeron,4 GB,Chrome OS,"Anti-glare,Anti-glare Screen",Integrated,,,4.3,$75.00 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
acer,CB314-3HT-P6QW,14 Inches,Silver,64 GB,Pentium,8 GB,Chrome OS,,Integrated,Intel UHD Graphics,,3.5,$432.70 
Dell,XPS 9315 Laptop,13.4 Inches,Platinum Silver,1000 GB,Core i7,32 GB,Windows 11 Home,,Integrated,Intel Integrated Graphics,,,"$1,501.49 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
HP,HP Notebook,15.6 Inches,Black,128 GB,Celeron,8 GB,Windows 11,,Integrated,Intel UHD Graphics 600,,3.9,$316.99 
SAMSUNG,Galaxy Book Odyssey,15.6 Inches,Mystic Black,512 GB,Core i7,16 GB,Windows 11 Home,HD Audio,Dedicated,,,4.1,"$1,320.86 "
Dell,Precision 7000,17.3 Inches,,512 GB,Core i7,32 GB,Windows 11 Pro,Anti-glare Screen,RTX A1000,NVIDIA RTX A1000,,,"$3,075.33 "
Dell,Latitude,14.1 Inches,Black,300 GB,Core 2 Duo P8700,2 GB,Windows 7,,Integrated,Integrated Intel Graphic,,3.6,$84.54 
Gateway,,14 Inches,Black,64 GB,Celeron N4020,4 GB,"Windows 10 S, Windows 10",,Integrated,Intel,1.1 GHz,4.2,$169.99 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
acer,PT14-51-78B4,14 Inches,Silver,512 GB,Intel Core i7,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard, Memory Card Slot",Dedicated,,,2.5,"$1,049.99 "
ASUS,,14 Inches,Rose Gold,320 GB,Celeron N4020,4 GB,Windows 11,Narrow Bezel,Integrated,Intel UHD Graphics 600,,4.3,$324.37 
Dell,XPS 9510 Laptop,15.6 Inches,Platinum Silver,1000 GB,Core i9,64 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 3050 Ti,,,,"$2,929.35 "
Lenovo,ThinkPad P16s G1,16 Inches,,1 TB,Ryzen 5,32 GB,Windows 11 Pro,Anti-glare Screen,Radeon 680M,AMD Radeon 680M,,,"$2,251.99 "
acer,AV14-51-58XZ,14 Inches,,512 GB,Core i5,16 GB,Windows 11 Home,,Integrated,,4.4 GHz,4.8,$532.49 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Dell,i3493-3464BLK-PUS,14 Inches,Black,128 GB,Core i3-1005G1,4 GB,Windows 10,,Integrated,Intel UHD Graphics,,4.3,$399.00 
Lenovo,Lenovo,11.6 Inches,Blizzard White,32 GB,,4 GB,Chrome OS,,Integrated,GX6250,,4.4,$239.99 
Dell,Dell Inspiron,15.6 Inches,,2000 GB,Core i5,8 GB,Windows 10,,Integrated,Intel HD Graphics 620,3.4 GHz,3.5,$356.99 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
HP,EliteBook 830 G9,13.3 Inches,,256 GB,Core i5,16 GB,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,"$1,863.52 "
Dell,Latitude 5000,14 Inches,Gray,512 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,5,"$2,312.24 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Lenovo,,14 Inches,,512 GB,Intel Core i5,20 GB,Windows 11 Home,"Anti-glare,Fingerprint Reader",Integrated,Intel Iris Xe Graphics,2.8 GHz,5,$499.99 
Dell,Latitude 5440,14 Inches,,1 TB,Core i7 Family,32 GB,Windows 11 Pro,"Anti-glare,Backlit Keyboard",Integrated,intel,,,"$1,670.17 "
Toughbook,CF-20,10.1 Inches,black/white,128 GB,core_m,8 GB,Windows 10 Pro,,Integrated,,,4.5,$959.00 
Dell,Latitude 5000,14 Inches,Gray,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,5,$876.02 
Dell,Dell Latitude,15.6 Inches,Black,,,16 GB,Windows 10 Pro,,Dedicated,NVIDIA GeForce 940MX,2.9 GHz,3.4,"$1,588.99 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Lenovo,ThinkPad L13 Gen 3,13.3 Inches,,256 GB,Ryzen 5,8 GB,Windows 11 Pro,Information Not Available,Radeon Graphics,AMD Radeon Graphics,,,$500.11 
Lenovo,ThinkPad P16 G1,16 Inches,Storm Grey,2 TB,Intel Core i7,64 GB,Windows 10 Pro,"Backlit Keyboard,Fingerprint",Dedicated,,,,"$2,319.00 "
Dell,Precision 5000,17 Inches,Titan Gray,512 GB,Core i7,32 GB,Windows 10 Pro,"InfinityEdge, Anti-glare Screen",RTX A3000,,,,"$2,701.64 "
acer,,,,,,4 GB,"Windows 11 Pro, Windows",,Integrated,Intel HD Graphics 400,,,$341.45 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Dell,,11.6 Inches,,,Celeron,4 GB,Chrome OS,,Integrated,Intel UHD Graphics,1.1 GHz,,$229.99 
acer,A515-44-R41B,15.6 Inches,Silver,256 GB,Ryzen 5 4500U,8 GB,Windows 10 Home,Backlit Keyboard,Integrated,,,4.5,$528.18 
Dell,XPS 9350,13.3 Inches,Machined Aluminum,256 GB,Core i7,8 GB,Windows 10,,"Integrated, Dedicated",Intel HD Graphics 5500,,3.8,$699.99 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Lenovo,ThinkBook 14 G4 IAP,14 Inches,,512 GB,Core i7,8 GB,Windows 11,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,"$1,019.00 "
acer,TravelMate P6 P614-52,14 Inches,Galaxy Black,1 TB,Core i7 Family,16 GB,Windows 10 Pro,Multi-touch Gesture,Iris Xe Graphics,,,,"$1,347.59 "
ASUS,Asus ZenBook 13,13.3 Inches,Slate Grey,512 GB,Intel Core i5,8 GB,Windows 10 Home,"Backlit Kb,Bezel,Fingerprint",Integrated,,,4.4,"$1,099.00 "
ASUS,Vivobook 14X,14 Inches,Indie Black,512 GB,Core i5,8 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 2050,,5,$819.99 
Microsoft,Surface Laptop Go 2,12.4 Inches,Sage,256 GB,Intel Core i5-1135G7,8 GB,Windows 10 S,,Integrated,Intel Iris,,,
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
Lenovo,,15.6 Inches,,,,8 GB,,Backlit Keyboard,Dedicated,,,4.8,$690.00 
Dell,Latitude 5530,15.6 Inches,,512 GB,Core i7 Family,32 GB,Windows 11 Pro,Anti-glare,,Intel Iris Xe Graphics,4.7 GHz,,"$1,488.95 "
LG,16Z90Q-K.AAS6U1,16 Inches,Gray,512 GB,Core i5,16 GB,Windows 11 Home,Lightweight,Dedicated,,,4.1,$900.90 
HP,Chromebook,14 Inches,Snow White,32 GB,Celeron,4 GB,Chrome OS,"Speakers: Stereo, Keyboard: Chiclet,",Integrated,,,4.4,$297.00 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Lenovo,ThinkPad X1 Carbon Gen 10,14 Inches,Black,512 GB,Core i7,16 GB,Windows 11,Anti-glare Screen,Iris Xe Graphics,,,2,"$1,637.24 "
acer,CB5-132T-C67Q,11.6 Inches,Blue,,8032,4 GB,Chrome OS,Memory Card Slot,Integrated,intergrated,,4.4,$269.00 
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
Dell,Latitude 7000,14 Inches,Carbon Fiber,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,,$917.24 
Panasonic,CF-54,14 Inches,Silver/Black,256 GB,Core i5,8 GB,Windows 10,Touchscreen,"Integrated, Dedicated",,,3.8,$700.00 
ASUS,ASUS Chromebook CX1,11.6 Inches,Transparent Silver,,Celeron,4 GB,Chrome OS,Anti-glare,Integrated,,2.8 GHz,1,$198.00 
ASUS,ASUS VivoBook,17.3 Inches,Silver,1 TB,Intel Core i5,12 GB,Windows 11,,"Intel HD Graphics 5000, Integrated",Intel HD Graphics 5000,,4,$519.00 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Dell,Latitude 5310 Multi-Touch 2-in-1,13.3 Inches,,256 GB,Core i5,8 GB,Windows 10 Pro,,Integrated,Intel UHD Graphics,1.7 GHz,,"$2,199.00 "
HP,EliteBook 650 G9,15.6 Inches,,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,$939.19 
Dell,Precision Workstation 5770,17 Inches,Silver,1 TB,Intel Core i9,32 GB,Windows 11 Pro,Backlit Keyboard,Dedicated,,,,"$2,949.00 "
Lenovo,Lenovo Thinkpad,14 Inches,Black,,Core i7-8650U,16 GB,Windows 10 Pro,,,,,4.3,"$1,599.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Lenovo,ThinkPad P14s Gen 3,14 Inches,Black,512 GB,Ryzen 7,32 GB,Windows 11,"Anti-reflection, Anti-smudge",Radeon 680M Graphics,,,,"$2,148.82 "
MSI,,15.6 Inches,,,,64 GB,,,,,3.5 GHz,5,"$1,289.99 "
Lenovo,IdeaPad 3 15ITL6,15.6 Inches,Arctic Gray,256 GB,Pentium,4 GB,Windows 10 Home,Anti-glare Screen,UHD Graphics,,,5,$349.99 
HP,HP 14,14 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$599.99 
Microsoft,LQS-00038,13.5 Inches,Cobalt,,Core i5 8400T,8 GB,Windows 10 Home,,Integrated,,1.3 GHz,4.4,$449.00 
Dell,DELL Latitude 5300,13.3 Inches,,512 GB,Core i5 8250U,16 GB,Windows 10 Pro,Speakers,Integrated,Intel Integrated Graphics,,4.2,
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
ASUS,VivoBook Pro 16X,16 Inches,Black,1 TB,Core i7,32 GB,Windows 11 Home,"Fingerprint Reader, High Definition Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",RTX 3050 Ti,,,3.3,"$1,445.82 "
LG,16Z90P-K.AAB9U1,16 Inches,Black,1 TB,Core i7 Family,16 GB,Windows 11,Alexa,Integrated,,,4.5,"$1,546.84 "
Panasonic,CF-31 MK5,13.1 Inches,Silver/Black,480 GB,Core i5 5300U,8 GB,Windows 10,Anti-glare,Integrated,,,5,$552.99 
Acer,,,,1 TB,,16 GB,Windows,,Dedicated,NVIDIA GeForce RTX 4050,,,"$1,249.98 "
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Lenovo,ThinkPad E570,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Professional 64-bit,Fingerprint Reader,Integrated,,,3.5,$369.95 
Dell,Latitude,15.6 Inches,Black,2 TB,Core i7 Family,64 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,5,"$1,125.00 "
Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,1,$749.99 
Dell,7520,15.6 Inches,Black,256 GB,Core i7,32 GB,Windows 10 Pro,TrackPoint,"Integrated, Dedicated",,,,$479.99 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
ASUS,ASUS Vivobook 16 Laptop,16 Inches,Quiet Blue,512 GB,Ryzen 7 5800H,12 GB,Windows 11 Home,,Integrated,AMD Radeon Graphics,,,$629.00 
Dell,Dell Inspiron,13.3 Inches,Era Gray,256 GB,,8 GB,Windows 10 Home,"Backlit Keyboard,Spill-resistant",AMD Radeon,,,3.7,$598.99 
Lenovo,20VK0019US,13.3 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Pro,"Fingerprint Reader,Pen",Integrated,,,3.7,$849.00 
Dell,Alienware m17 Ryzen Edition R5 Laptop,17.3 Inches,Dark Side of the Moon,512 GB,AMD Ryzen 7,12 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3060,,,"$1,486.99 "
Panasonic,Panasonic Toughbook,13.1 Inches,Silver/Black,1 TB,Core i5,16 GB,Windows 10,Backlit Keyboard,Integrated,,,4.2,$599.99 
Dell,G15 5521 Laptop,15.6 Inches,Black,1000 GB,Core i9,16 GB,Windows 10 Home,,Integrated,NVIDIA GeForce RTX 3070 Ti,,,"$1,767.99 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,1000 GB,Core i5,16 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,$899.74 
Dell,Precision 7770,17 Inches,,512 GB,Intel Core i9,32 GB,Windows 11 Pro,Anti-glare,Dedicated,NVIDIA RTX A5500 16GB GDDR6,,,"$3,345.99 "
Lenovo,Chromebook,14 Inches,Gray,32 MB,,4 GB,Chrome OS,Backlit Keyboard,Integrated,AMD Radeon R5,,4.1,$289.00 
Dell,Latitude 7440,14 Inches,,512 GB,Intel Core i7,32 GB,Windows 11 Pro,Anti-glare,Integrated,Intel Iris Xe Graphics,,,"$1,535.99 "
Dell,Latitude Rugged 5430 Laptop,14 Inches,Silver,1000 GB,Core i5,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,5,"$1,499.99 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
HP,,11.6 Inches,,,Celeron,4 GB,Chrome OS,,Integrated,,1.6 GHz,3.9,$154.89 
ASUS,ASUS VivoBook 17X,17.3 Inches,Blue,512 GB,Ryzen 7 5800H,8 GB,Windows 11 Home,Fingerprint Sensor,Integrated,,,3.8,$743.66 
MSI,Summit E13FlipEvo A13MT-220US,13.4 Inches,Ink Black,1 TB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Iris,,,"$1,599.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
acer,A515-57G-58R7,15.6 Inches,Gray,512 GB,Intel Core i5,8 GB,Windows 11 Home,"Backlit Kb,Fingerprint Reader",Dedicated,,,4.2,$879.99 
Lenovo,,16 Inches,,,,16 GB,Windows 11 Pro,Anti-glare,Integrated,AMD Radeon 680M,,,"$1,488.64 "
Dell,Latitude 9520 Laptop,15 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,$986.99 
Dell,Precision 5560,15.6 Inches,,1 TB,Intel Core i9,16 GB,Windows 10 Pro,,Integrated,NVIDIA RTX A2000 w/4GB,2.6 GHz,4.2,"$2,499.99 "
SAMSUNG,XE350XBA-K05US,15.6 Inches,Silver,,Celeron N4000,4 GB,Windows 10,,Integrated,,2.6,,$268.99 
acer,TMP614-51-G2-5442,14 Inches,Black,,Core i5,,Windows 10 Pro,Fingerprint Reader,Integrated,Intel UHD Graphics,4.4 GHz,4.1,"$1,026.99 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Dell,Precision 7000,16 Inches,,1 TB,Core i9,64 GB,Windows 11 Pro,Anti-glare Screen,RTX 3500 Ada,NVIDIA RTX 3500 Ada,,,"$3,999.99 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
ASUS,Rog Strix Scar G533Z,15.6 Inches,Off Black,1 TB,Intel Core i9,32 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,,"$2,249.00 "
ASUS,CR1100FKA-YZ182T-S,11.6 Inches,,32 GB,Celeron N,8 GB,Chrome OS,Spill resistant,Integrated,Intel UHD Graphics,,,$444.99 
Panasonic,Panasonic Toughbook,15.4 Inches,Silver/Black,480 GB,Core i5,16 GB,Windows 10 Pro,"Stereo,Stereo/",Integrated,,,5,$606.89 
ASUS,Vi F5,15.6 Inches,Gray,128 GB,Intel Core i3,8 GB,Windows 11,"Backlit Keyboard,Fingerprint Reader",Integrated,,,4.2,$370.23 
Apple,MacBook Pro,16 Inches,Silver,1 TB,Core i9 7960X,16 GB,Mac OS,,Dedicated,Intel UHD Graphics 630,,4.7,"$1,419.00 "
Dell,Precision 3000,14 Inches,,512 GB,Core i7,16 GB,Windows 10,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,"$1,910.62 "
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
Lenovo,ThinkCentre M90s Gen 3,,Black,,Core i7-10700T,16 GB,Windows 11,Security Slot,,,,,"$1,169.00 "
Lenovo,IdeaPad Slim 7 Pro 14IHU5,14 Inches,Slate Gray,512 GB,Core i5 Family,16 GB,Windows 11 Home,,Iris Xe Graphics,Intel Iris Xe Graphics,,4.3,$711.99 
ASUS,ASUS VivoBook,15.6 Inches,,128 GB,,4 GB,Windows 10 Home,,Dedicated,AMD Radeon R7,,4.1,$319.00 
Panasonic,CF-52 MK5,15.4 Inches,grey/black,240 GB,Core i5,8 GB,Windows 10,Stereo Speakers,Dedicated,,,3.9,$450.00 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Lenovo,IdeaPad 3 Lenovo,15.6 Inches,Abyss Blue,512 GB,Core i5 Family,16 GB,Windows 11 Pro,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,,$659.99 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
Lenovo,Lenovo,15.6 Inches,Iron Grey,256 GB,Intel Core i5,12 GB,Windows 10,,Integrated,INTEL,,4.4,$899.99 
MSI,Creator M16 B13VE-1251US,16 Inches,Black,1 TB,Core i9,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,,,"$1,599.00 "
Lenovo,130-15AST,15.6 Inches,Black,128 GB,AMD A Series,4 GB,Windows 10 Home,,Dedicated,AMD Radeon R5,,4.2,$399.99 
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
LG,16Z90R-N.APC5U1,16 Inches,Charcoal gray,512 GB,Core i5,8 GB,Windows 11 Pro,,Integrated,Intel HD Graphics 520,,,$978.99 
Dell,Latitude,15.6 Inches,,2 TB,Core i5,32 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,5,"$1,481.86 "
Dell,Inspiron,14 Inches,Silver,2 TB,Core i7 Family,64 GB,Windows 11 Home,,Integrated,Intel Iris Xe Graphics,,5,$993.23 
Dell,5300,13.3 Inches,Gray,256 GB,Core i7 Family,16 GB,Windows 10 Pro,Backlit Keyboard,Integrated,,,4.2,"$1,499.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
